"caput, capitis",n. 3rd head; leader; beginning; life; heading; chapter,"caput, capitis"
"cōnsul, cōnsulis",m. 3rd consul,"cōnsul, cōnsulis"
"nēmō, nūllīus, nēminī, nēminem, nūllō, or nūllā","m./f. no one, nobody","nēmō, nūllīus, nēminī, nēminem, nūllō, or nūllā"
"ego, meī","I","ego, meī"
"tū, tuī","you","tū, tuī"
"is, ea, id","this, that; he, she, it","is, ea, id"
"īdem, eadem, idem","the same","īdem, eadem, idem"
"amīcus, amīca, amīcum",friendly,"amīcus, amīca, amiīcum"
"cārus, cāra, cārum",dear,"cārus, cāra, cārum"
quod,because,quod
"neque, nec",and not; nor,"neque, nec"
neque ... neque,neither ... nor,neque ... neque
autem,"postpositive; however, moreover",autem
bene,"well, satisfactorily, quite",bene
etiam,"even, also",etiam
"intellegō, intellegere, intellēxī, intellēctum",to understand,"intellegō, intellegere, intellēxī, intellēctum"
"mittō, mittere, mīsī, missum","send, let go","mittō, mittere, mīsī, missum"
"sentiō, sentīre, sēnsī, sēnsum","to feel, perceive, think, experience","sentiō, sentīre, sēnsī, sēnsum"
